variable,grp,avg_time,avg_amp,avg_duration,n_durations,solution
o2,-1240,-1.2394990775510203e6,1.6252113964270185,20.37551020407973,49,ZB23.R01
o2,-1241,-1.2404977265306122e6,1.5015757154050322,20.351020408162316,49,ZB23.R01
o2,-1242,-1.2414986775510204e6,1.3219219200010701,20.391836734692927,49,ZB23.R01
o2,-1243,-1.2424969102040813e6,1.6212934790349218,20.33469387755387,49,ZB23.R01
o2,-1244,-1.2434925551020408e6,1.099423517321614,20.391836734692927,49,ZB23.R01
o2,-1245,-1.244492608e6,0.8884676012869154,20.0,50,ZB23.R01
o2,-1246,-1.245499484e6,1.3178630529864384,20.36,50,ZB23.R01
o2,-1247,-1.2465045102040817e6,1.2493890861796886,20.089795918365446,49,ZB23.R01
o2,-1248,-1.2474943240000003e6,0.7694183971948244,20.024000000003724,50,ZB23.R01
o2,-1249,-1.2484930480000002e6,1.2839182794947053,20.031999999997208,50,ZB23.R01
o2,-1250,-1.2494968204081631e6,1.3257165210276756,20.351020408162316,49,ZB23.R01
o3,-1201,-1.2005034526315788e6,0.6421948409054711,17.319298245617304,57,ZB23.R01
o3,-1202,-1.201498651724138e6,0.6133223330070396,17.31724137930874,58,ZB23.R01
o3,-1203,-1.2025028172413788e6,0.6186052860748069,17.289655172414594,58,ZB23.R01
o3,-1204,-1.2035054344827586e6,0.5867782181023294,17.310344827586206,58,ZB23.R01
o3,-1205,-1.2045001614035089e6,0.620412253975257,17.263157894736842,57,ZB23.R01
o3,-1206,-1.2054937551724138e6,0.6098391227371374,17.30344827585966,58,ZB23.R01
o3,-1207,-1.206497220689655e6,0.6710025750344963,17.282758620692064,58,ZB23.R01
o3,-1208,-1.2075002344827587e6,0.6884139846659136,17.296551724137128,58,ZB23.R01
o3,-1209,-1.2085036758620692e6,0.679637733756684,17.296551724137128,58,ZB23.R01
o3,-1210,-1.209506593103448e6,0.6971624388425943,17.282758620692064,58,ZB23.R01
o3,-1211,-1.210500361403509e6,0.6118101307786991,17.284210526314972,57,ZB23.R01
o3,-1212,-1.2114934862068966e6,0.6750278400886508,17.262068965516438,58,ZB23.R01
o3,-1213,-1.2124948344827585e6,0.5963103298119365,17.268965517242986,58,ZB23.R01
o3,-1214,-1.2134960724137933e6,0.6745288855696312,17.262068965516438,58,ZB23.R01
o3,-1215,-1.2144972655172418e6,0.6512376729848285,17.262068965516438,58,ZB23.R01
o3,-1216,-1.2154985517241377e6,0.6898829279303119,17.268965517242986,58,ZB23.R01
o3,-1217,-1.2164997793103447e6,0.6973913272143542,17.255172413789893,58,ZB23.R01
o3,-1218,-1.2175008931034482e6,0.7012407539606255,17.248275862071374,58,ZB23.R01
o3,-1219,-1.2185009172413794e6,0.6771244203405955,17.24137931034483,58,ZB23.R01
o3,-1220,-1.2195011896551722e6,0.7053583139669761,17.23448275861828,58,ZB23.R01
o3,-1221,-1.220501279310345e6,0.6835500761497997,17.248275862071374,58,ZB23.R01
o3,-1222,-1.2215012103448277e6,0.7093625362016646,17.24827586206736,58,ZB23.R01
o3,-1223,-1.2225007482758618e6,0.6901890046292523,17.234482758622296,58,ZB23.R01
o3,-1224,-1.2234995862068962e6,0.7137230758063144,17.21379310344667,58,ZB23.R01
o3,-1225,-1.2244977896551727e6,0.6476512973102082,17.220689655173217,58,ZB23.R01
o3,-1226,-1.2254961379310342e6,0.7218037319150808,17.200000000001605,58,ZB23.R01
o3,-1227,-1.2264940310344826e6,0.7006083421566011,17.20689655172414,58,ZB23.R01
o3,-1228,-1.2275008372881354e6,0.7321387062739775,17.199999999996844,59,ZB23.R01
o3,-1229,-1.2285072344827584e6,0.721862696841913,17.186206896552527,58,ZB23.R01
o3,-1230,-1.2295047482758618e6,0.6647105619647156,17.19310344827506,58,ZB23.R01
o3,-1231,-1.2305011965517239e6,0.6633486267952388,17.179310344829993,58,ZB23.R01
o3,-1232,-1.2314974896551722e6,0.665045508861347,17.17241379310345,58,ZB23.R01
o3,-1233,-1.232493793103448e6,0.6694936368567193,17.186206896552527,58,ZB23.R01
o3,-1234,-1.2334988711864403e6,0.7057998627400509,17.1864406779661,59,ZB23.R01
o3,-1235,-1.2345037172413792e6,0.7021449655165751,17.186206896548512,58,ZB23.R01
o3,-1236,-1.235499762068966e6,0.7044232327294813,17.165517241380915,58,ZB23.R01
o3,-1237,-1.2364947655172416e6,0.6629290520131818,17.15862068965437,58,ZB23.R01
o3,-1238,-1.2374986644067795e6,0.7015523732095139,17.13898305084667,59,ZB23.R01
o3,-1239,-1.2385016931034483e6,0.6925027680553268,17.151724137931836,58,ZB23.R01
o3,-1240,-1.2394966482758622e6,0.7408316890314277,17.144827586209306,58,ZB23.R01
o3,-1241,-1.2404998135593217e6,0.7141746224933846,17.145762711862037,59,ZB23.R01
o3,-1242,-1.241502617241379e6,0.6653817060758048,17.137931034482758,58,ZB23.R01
o3,-1243,-1.242496051724138e6,0.6636646462345218,17.12413793103368,58,ZB23.R01
o3,-1244,-1.2434975355932203e6,0.6761626715491896,17.11864406779661,59,ZB23.R01
o3,-1245,-1.244498972413793e6,0.656747733541399,17.131034482760228,58,ZB23.R01
o3,-1246,-1.2455007084745767e6,0.724998663970739,17.11864406779661,59,ZB23.R01
o3,-1247,-1.2465022275862067e6,0.7388895215946514,17.117241379311146,58,ZB23.R01
o3,-1248,-1.2475036372881357e6,0.6936975073410986,17.10508474576192,59,ZB23.R01
o3,-1249,-1.2485037586206894e6,0.6856701181257392,17.08965517241299,58,ZB23.R01
o3,-1250,-1.249495486206897e6,0.6530977600418704,17.096551724139537,58,ZB23.R01
p,-1201,-1.2005056885714289e6,1.3469730668066051,14.062857142855812,70,ZB23.R01
p,-1202,-1.2014938171428572e6,1.4805733739769062,14.377142857141527,70,ZB23.R01
p,-1203,-1.2025010138888888e6,1.2850269557450251,13.872222222222868,72,ZB23.R01
p,-1204,-1.203503144927536e6,1.4618236738165218,14.591304347826762,69,ZB23.R01
p,-1205,-1.2045055285714285e6,1.4662221690553285,14.211428571429236,70,ZB23.R01
p,-1206,-1.2054924457142858e6,1.3578945744789823,14.217142857142193,70,ZB23.R01
p,-1207,-1.2065006444444447e6,1.456873565157991,13.955555555556202,72,ZB23.R01
p,-1208,-1.2074984057971016e6,1.4463207416836446,14.469565217389954,69,ZB23.R01
p,-1209,-1.2085038342857137e6,1.4473709553802636,14.331428571427907,70,ZB23.R01
p,-1210,-1.209501074285714e6,1.4203164819866214,14.285714285714286,70,ZB23.R01
p,-1211,-1.2105054714285715e6,1.482136267918613,14.291428571430567,70,ZB23.R01
p,-1212,-1.2114982914285716e6,1.3415118938347994,14.31999999999867,70,ZB23.R01
